flight,tail_number,long,lat,alt,manufacturer,model,reg_expiration,reg_owner,reg_city,reg_state,squawk,mph,spotted
N95HM,N95HM,-118.175,34.5818,8475,CIRRUS DESIGN CORP,SR22T,12/31/23,SSV WORKS INC,OXNARD,CALIFORNIA,3106,460,11/10/22 17:20
ASH5826,N944LR,-117.869,34.5738,37950,BOMBARDIER INC,CL-600-2D24,6/30/23,MESA AIRLINES INC,PHOENIX,ARIZONA,3206,520,11/10/22 17:20
SWA2307,N8724J,-117.444,34.6979,35825,BOEING,737-8,6/30/23,UMB BANK NA TRUSTEE,SALT LAKE CITY,UTAH,3710,529,11/10/22 17:20
DAL2043,N105DU,-118.147,34.6468,21275,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,6/30/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,7214,456,11/10/22 17:30
TWY831,N831DR,-118.584,34.385,27650,DASSAULT,FALCON 2000EX,8/31/24,DRISCOLLS INC,WATSONVILLE,CALIFORNIA,1516,527,11/10/22 17:30
N836EA,N836EA,-118.273,34.5791,9075,SOCATA,TBM 700,11/30/22,TBM AVIATION LLC,LONGVIEW,TEXAS,5615,460,11/10/22 17:30
SKW3014,N715SK,-117.862,34.6977,22150,BOMBARDIER INC,CL-600-2C10,4/30/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,6725,460,11/10/22 17:30
N29NB,N29NB,-117.771,34.4857,20575,ISRAEL AIRCRAFT INDUSTRIES,1125 WESTWIND ASTRA,8/31/25,PPP AVIATION LLC,DOVER,DELAWARE,1722,460,11/10/22 17:30
SWA566,N8715Q,-118.695,34.6122,40950,BOEING,737-8,12/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,7626,525,11/10/22 17:40
EJA145,N145QS,-118.131,34.6483,22925,BOMBARDIER INC,BD-700-1A10,4/30/25,NETJETS SALES INC,OKLAHOMA CITY,OKLAHOMA,6347,516,11/10/22 17:40
SWA3059,N288WN,-118.523,34.6264,28700,BOEING,737-7H4,5/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6715,539,11/10/22 17:40
N201XQ,N201XQ,-118.354,34.6505,8400,MOONEY,M20J,2/29/24,ROSSI THEODOR,VENICE BEACH,CALIFORNIA,4776,460,11/10/22 17:40
N315TS,N315TS,-118.303,34.575,8375,BOEING,737-7CU,6/30/25,TUTOR-SALIBA CORP,SYLMAR,CALIFORNIA,5773,322,11/10/22 17:40
EJA240,N240QS,-118.175,34.5885,10575,BOMBARDIER INC,CL-600-2B16(CL-604),9/30/24,NETJETS SALES INC,OKLAHOMA CITY,OKLAHOMA,4716,338,11/10/22 17:40
UAL372,N844UA,-118.24,34.5809,35850,AIRBUS INDUSTRIE,A319-131,4/30/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,6323,523,11/10/22 17:40
ENY3657,N247NN,-118.421,34.8668,21650,EMBRAER,ERJ 170-200 LR,12/31/25,AMERICAN AIRLINES INC,FORT WORTH,TEXAS,1053,460,11/10/22 17:50
DAL2752,N123DQ,-118.683,34.5272,27450,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,6/30/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,7250,495,11/10/22 17:50
AAL1031,N663AW,-118.1,34.6537,36875,AIRBUS INDUSTRIE,A320-232,2/29/24,US BANK NA TRUSTEE,BOSTON,MASSACHUSETTS,1530,525,11/10/22 17:50
N577BF,N577BF,-118.032,34.4946,27175,PILATUS AIRCRAFT LTD,PC-12/45,11/30/23,KEVIN 577 LLC,BELLEVUE,WASHINGTON,7351,460,11/10/22 17:50
