flight,tail_number,long,lat,alt,manufacturer,model,reg_expiration,reg_owner,reg_city,reg_state,squawk,mph,spotted
SWA1120,N8732S,-118.489,34.4635,33275,BOEING,737-8,8/31/23,UMB BANK NA TRUSTEE,SALT LAKE CITY,UTAH,3715,460,11/8/22 14:20
N41KN,N41KN,-118.748,34.9241,36275,CESSNA,525C,2/29/24,SPACE SHUTTLE AIRCRAFT LEASING CO II LLC,SALEM,OREGON,5775,511,11/8/22 14:20
N444WC,N444WC,-118.091,34.233,39550,ISRAEL AIRCRAFT INDUSTRIES,ASTRA SPX,10/31/24,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,6624,529,11/8/22 14:20
0,N72NG,-118.094,34.3813,18950,TEXTRON AVIATION INC,B300,5/31/25,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CALIFORNIA,4636,315,11/8/22 14:20
DAL2385,N354NB,-117.809,34.2856,21850,AIRBUS,A319-114,6/30/25,DELTA AIR LINES INC,ATLANTA,GEORGIA,71,444,11/8/22 14:30
TAI563,N779AV,-118.671,34.7747,35200,AIRBUS,A320-251N,7/31/24,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,7236,525,11/8/22 14:30
EJA216,N216QS,-117.929,34.6467,13250,BOMBARDIER INC,CL-600-2B16,12/31/23,NETJETS SALES INC,OKLAHOMA CITY,OKLAHOMA,4717,442,11/8/22 14:30
SKW4780,N743SK,-117.709,34.4491,19375,BOMBARDIER INC,CL-600-2C10,11/30/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,6320,428,11/8/22 14:30
N770RG,N770RG,-118.074,34.6729,17975,CORPORATE JETS LIMITED,BAE 125-1000A,10/31/23,AIR MCCORMACK LLC,CHICAGO,ILLINOIS,7763,460,11/8/22 14:40
JSX553,N26545,-118.186,34.6103,17650,EMBRAER,EMB-145LR,8/31/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,1370,361,11/8/22 15:00
AMX669,N342AM,-118.577,34.8245,35225,BOEING,737-8Z9,11/30/25,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,3220,529,11/8/22 15:00
N914EG,N914EG,-118.076,34.629,7950,EMBRAER SA,EMB-500,6/30/23,SAN JOAQUIN DOOR & SUPPLY INC,MOORPARK,CALIFORNIA,4672,460,11/8/22 15:10
SWA1854,N733SA,-118.545,34.5934,40375,BOEING,737-7H4,2/29/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,5763,513,11/8/22 15:10
N222MC,N222MC,-117.774,34.4495,20200,CANADAIR LTD,CL-600-2B16,1/31/26,FLIGHT MANAGEMENT LLC,KIRKLAND,WASHINGTON,4644,460,11/8/22 15:10
SWA1385,N8656B,-118.545,34.4733,30125,BOEING,737-8H4,1/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6544,536,11/8/22 15:10
SKW4700,N809CA,-118.269,34.4959,24300,BOMBARDIER INC,CL-600-2B19,11/30/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,3703,465,11/8/22 15:10
PEG68,N268VT,-117.938,34.6344,12725,GULFSTREAM AEROSPACE,G-IV,3/31/25,AVIRE LLC,WEST HOLLYWOOD,CALIFORNIA,6272,371,11/8/22 15:30
SWA518,N412WN,-118.097,34.6558,40400,BOEING,737-7H4,12/31/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4153,520,11/8/22 15:30
EDG131,N131JE,-118.162,34.5732,12125,GULFSTREAM AEROSPACE,G-IV,5/31/25,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UTAH,4626,460,11/8/22 15:30
DERBY63,N1028BX,-117.859,34.6541,26025,,,,,,,6705,405,11/8/22 15:30
AAL2023,N146AA,-117.557,34.6863,33275,AIRBUS,A321-231,9/30/24,AMERICAN AIRLINES INC,FORT WORTH,TEXAS,3774,527,11/8/22 15:30
SKW4994,N719SK,-118.41,34.7967,34300,BOMBARDIER INC,CL-600-2C10,4/30/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,2676,523,11/8/22 15:30
N85FD,N85FD,-117.954,34.6554,24050,HAWKER BEECHCRAFT CORP,C90GTI,1/31/25,SANDERS SUPPLY INC,HOT SPRINGS,ARKANSAS,7332,460,11/8/22 15:30
SWA1089,N7855A,-118.403,34.36,40450,BOEING,737-79P,1/31/26,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,6722,460,11/8/22 15:40
SKW3369,N188SY,-117.614,34.5915,28275,EMBRAER S A,ERJ 170-200 LR,1/31/26,SKYWEST AIRLINES INC,ST GEORGE,UTAH,2014,460,11/8/22 15:40
CTF783,N783NG,-118.409,34.8062,27150,PILATUS AIRCRAFT LTD,PC-12/47E,7/31/24,GJV EQUIPMENT LEASING LLC,SCOTTSDALE,ARIZONA,3721,460,11/8/22 15:50
ASA1453,N266AK,-118.461,34.4559,40425,BOEING,737-900ER,11/30/25,ALASKA AIRLINES INC,SEATAC,WASHINGTON,5772,520,11/8/22 15:50
AAL24,N105NN,-117.582,34.3397,24775,AIRBUS,A321-231,12/31/25,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,,460,11/8/22 15:50
SWA1256,N8721J,-118.072,34.5791,33375,BOEING,737-8,11/30/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3740,527,11/8/22 15:50
SWA203,N7811F,-117.73,34.5552,39500,BOEING,737-76N,3/31/25,AIRCRAFT MSN 28654 STATUTORY TRUST,SALT LAKE CITY,UTAH,6304,509,11/8/22 15:50
0,N77NG,-118.249,34.6707,6975,TEXTRON AVIATION INC,B300,5/31/25,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CALIFORNIA,4712,246,11/8/22 15:50
FFL795,N163YB,-118.01,34.7355,3875,,,,,WASHINGTON,DIST. OF COL.,1303,460,11/8/22 15:50
SKW3369,N188SY,-118.488,34.8615,28125,EMBRAER S A,ERJ 170-200 LR,1/31/26,SKYWEST AIRLINES INC,ST GEORGE,UTAH,2014,477,11/8/22 15:50
N700FP,N700FP,-118.156,34.6647,7925,SOCATA,TBM 700A,5/31/23,GA HOLDINGS LLC,MOFFETT FIELD,CALIFORNIA,4632,186,11/8/22 15:50
AAL2530,N421UW,-117.663,34.3422,25150,AIRBUS,A321-253NX,12/31/23,AMERICAN AIRLINES INC,FORT WORTH,TEXAS,4756,451,11/8/22 16:00
GAJ594,N848CC,-118.702,34.5733,27150,IAI LTD,GULFSTREAM G280,1/31/24,TRUIST EQUIPMENT FINANCE CORP,ATLANTA,GEORGIA,,460,11/8/22 16:00
SWA101,N8603F,-118.247,34.7578,23975,BOEING,737-8H4,11/30/25,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3230,472,11/8/22 16:00
UAL242,N38446,-118.126,34.4965,33325,BOEING,737-924ER,1/31/24,UNITED AIRLINES INC,CHICAGO,ILLINOIS,3636,529,11/8/22 16:00
SWA3198,N567WN,-117.823,34.6366,39300,BOEING,737-7CT,10/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3273,513,11/8/22 16:00
SWA220,N268WN,-118.601,34.3645,31425,BOEING,737-7H4,3/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,,460,11/8/22 16:00
FFT2790,N216FR,-117.621,34.4322,37600,AIRBUS,A320-214,6/30/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,3642,525,11/8/22 16:00
N489CB,N489CB,-118.247,34.7184,36300,CESSNA,525,4/30/23,AIR GIANT LLC,WATSONVILLE,CALIFORNIA,2620,460,11/8/22 16:00
SKW4961,N713EV,-118.262,34.587,8825,BOMBARDIER INC,CL-600-2C10,11/30/24,SKYWEST AIRLINES INC,ST GEORGE,UTAH,2627,460,11/8/22 16:00
N700FP,N700FP,-118.247,34.633,7875,SOCATA,TBM 700A,5/31/23,GA HOLDINGS LLC,MOFFETT FIELD,CALIFORNIA,4632,460,11/8/22 16:00
N1D,N1D,-118.338,34.4279,14975,GULFSTREAM AEROSPACE,G-IV,6/30/23,WAC I LLC,FORT LAUDERDALE,FLORIDA,,460,11/8/22 16:10
DAL1485,N3749D,-118.453,34.4418,38325,BOEING,737-832,8/31/23,DELTA AIR LINES INC,ATLANTA,GEORGIA,1335,523,11/8/22 16:10
ASA734,N457AS,-118.37,34.4717,24250,BOEING,737-990ER,2/28/26,ALASKA AIRLINES INC,SEATAC,WASHINGTON,7202,460,11/8/22 16:10
SWA400,N458WN,-118.042,34.6799,19875,BOEING,737-7H4,6/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,7631,433,11/8/22 16:10
N211PJ,N211PJ,-117.878,34.6975,16875,HONDA AIRCRAFT CO LLC,HA-420,2/28/25,WESTERN FINANCE CO,PHOENIX,ARIZONA,4603,355,11/8/22 16:10
ENY3473,N238NN,-118.314,34.8239,19825,EMBRAER S A,ERJ 170-200 LR,8/31/25,AMERICAN AIRLINES INC,FORT WORTH,TEXAS,1537,453,11/8/22 16:10
LXJ378,N378FX,-118.215,34.5977,7950,EMBRAER EXECUTIVE AIRCRAFT INC,EMB-505,6/30/25,FLEXJET LLC,CLEVELAND,OHIO,1622,460,11/8/22 16:10
JSX109,N259JX,-118.125,34.6181,9875,EMBRAER,EMB-135LR,4/30/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4635,460,11/8/22 16:20
SKW5391,N955SW,-118.054,34.6315,30250,BOMBARDIER INC,CL-600-2B19,1/31/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,1542,527,11/8/22 16:20
0,N277JH,-118.331,34.5703,8325,BOMBARDIER INC,BD-100-1A10,4/30/23,LUGHNASA MANAGEMENT LLC,ARMONK,NEW YORK,4765,315,11/8/22 16:20
HGT5334,N286DP,-118.313,34.7504,36325,EMBRAER,EMB-145XR,6/30/25,JPMORGAN CHASE BANK NA,COLUMBUS,OHIO,2623,506,11/8/22 16:20
SKW5509,N743SK,-118.563,34.8788,28025,BOMBARDIER INC,CL-600-2C10,11/30/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,2030,529,11/8/22 16:20
LXJ424,N424FX,-118.072,34.5703,18900,EMBRAER S A,EMB-545,6/30/25,FLEXJET LLC,CLEVELAND,OHIO,6717,382,11/8/22 16:30
SWA3591,N945WN,-118.444,34.5501,27200,BOEING,737-7H4,3/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,5765,518,11/8/22 16:30
SWA2814,N240WN,-117.626,34.4745,39350,BOEING,737-7H4,10/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3720,513,11/8/22 16:30
N10H,N10H,-117.561,34.7131,25025,GULFSTREAM AEROSPACE,GV-SP (G550),1/31/24,HEMISPHERES HORIZONS LLC,LOS ANGELES,CALIFORNIA,2050,474,11/8/22 16:30
SWA1856,N7723E,-118.718,34.8245,28050,BOEING,737-76N,9/30/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,5736,520,11/8/22 16:30
N12SY,N12SY,-118.433,34.8863,36325,BRITISH AEROSPACE,BAE 125 SERIES 800A,7/31/25,MCWALSH LLC,DOVER,DELAWARE,5742,460,11/8/22 16:30
ASA1478,N248AK,-118.533,34.3265,28150,BOEING,737-990ER,6/30/25,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,1606,495,11/8/22 16:30
N33FW,N33FW,-117.97,34.5293,28250,CESSNA,525,3/31/23,GOLD COAST LEASING LLC,SANTA MARIA,CALIFORNIA,4674,460,11/8/22 16:30
N926PN,N926PN,-118.054,34.5662,7925,BOMBARDIER INC,BD-700-1A10,11/30/23,SN 9003 LLC,FORT LAUDERDALE,FLORIDA,2160,322,11/8/22 16:40
FFT1382,N312FR,-117.681,34.4107,19600,AIRBUS,A320-251N,12/31/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,1341,366,11/8/22 16:50
N525JN,N525JN,-118.703,34.6544,38875,CESSNA,525A,10/31/24,PORTKEY525 LLC,APTOS,CALIFORNIA,1012,470,11/8/22 16:50
0,N77NG,-118.083,34.5505,7950,TEXTRON AVIATION INC,B300,5/31/25,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CALIFORNIA,4617,203,11/8/22 17:00
JSX0108,N254JX,-118.15,34.6445,17600,EMBRAER,EMB-135LR,10/31/25,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,4622,460,11/8/22 17:00
N889CH,N889CH,-118.226,34.5845,9025,GULFSTREAM AEROSPACE CORP,GVI (G650),3/31/24,PASACA CAPITAL INC,PASADENA,CALIFORNIA,2253,318,11/8/22 17:00
N909SF,N909SF,-118.508,34.6071,30175,BELL,222,,SALE REPORTED,GONZALES,CALIFORNIA,7740,460,11/8/22 17:00
SWA455,N7874B,-118.703,34.573,25625,BOEING,737-7Q8,12/31/24,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,1313,511,11/8/22 17:10
SKW3014,N713EV,-117.986,34.6902,18475,BOMBARDIER INC,CL-600-2C10,11/30/24,SKYWEST AIRLINES INC,ST GEORGE,UTAH,7363,387,11/8/22 17:10
N465PA,N465PA,-118.099,34.6518,7975,EMBRAER,EMB-120ER,4/30/25,PHOENIX AIR GROUP INC,CARTERSVILLE,GEORGIA,4652,460,11/8/22 17:10
SWA3447,N8656B,-117.909,34.4702,33400,BOEING,737-8H4,1/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4714,490,11/8/22 17:10
SWA3272,N495WN,-118.141,34.7624,34225,BOEING,737-7H4,6/30/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,1666,525,11/8/22 17:10
SKW3506,N298SY,-117.814,34.3786,17300,EMBRAER S A,ERJ 170-200 LL,11/30/25,SKYWEST AIRLINES INC,SAINT GEORGE,UTAH,,460,11/8/22 17:20
JRE976,N976JS,-118.062,34.4961,18050,CESSNA,750,1/31/24,TOP JET LLC,FORT LAUDERDALE,FLORIDA,1017,460,11/8/22 17:20
TWY822,N595MP,-118.115,34.621,10925,BOMBARDIER INC,BD-700-1A10,12/31/23,MILLENNIUM PARTNERS LLC,NEW YORK,NEW YORK,1634,341,11/8/22 17:20
DAL1334,N775DE,-118.587,34.5294,35100,BOEING,737-8EH,2/28/26,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3577,541,11/8/22 17:20
0,N77NG,-118.11,34.6309,3200,TEXTRON AVIATION INC,B300,5/31/25,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CALIFORNIA,4773,460,11/8/22 17:30
UAL372,N834UA,-118.577,34.8284,37250,AIRBUS INDUSTRIE,A319-131,4/30/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,7220,460,11/8/22 17:30
N77UF,N77UF,-117.712,34.3059,20975,BOMBARDIER INC,BD-700-1A10,9/30/25,F & L AVIATION LLC,LAS VEGAS,NEVADA,4635,460,11/8/22 17:30
SKW4994,N719SK,-118.3,34.5613,35350,BOMBARDIER INC,CL-600-2C10,4/30/25,SKYWEST AIRLINES INC,ST GEORGE,UTAH,6365,518,11/8/22 17:30
ENY3657,N238NN,-117.969,34.645,31950,EMBRAER S A,ERJ 170-200 LR,8/31/25,AMERICAN AIRLINES INC,FORT WORTH,TEXAS,7204,500,11/8/22 17:30
ASA1421,N938AK,-117.614,34.6492,36375,BOEING,737-9,6/30/25,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,1631,520,11/8/22 17:30
N561CC,N561CC,-118.666,34.8417,26025,CESSNA,560,7/31/25,AIR LAND LEASING LLC,MADERA,CALIFORNIA,2071,460,11/8/22 17:30
SWA566,N7750A,-118.749,34.9255,40150,BOEING,737-7BD,9/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6703,518,11/8/22 17:30
SKW5672,N625UX,-118.29,34.7879,25025,EMBRAER S A,ERJ 170-200 LL,12/31/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,1745,479,11/8/22 17:40
SKW5527,N105SY,-117.715,34.7439,35475,EMBRAER S A,ERJ 170-200 LR,4/30/23,SKYWEST AIRLINES INC,ST GEORGE,UTAH,3624,516,11/8/22 17:40
COO45,N456JA,-117.884,34.6973,20900,IAI LTD,GULFSTREAM G280,4/30/25,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,1334,428,11/8/22 17:40
SWA559,N480WN,-118.248,34.5388,30725,BOEING,737-7H4,8/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4642,518,11/8/22 17:40
DAL2752,N139DU,-118.614,34.6404,26325,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2/29/24,DELTA AIR LINES INC,ATLANTA,GEORGIA,6753,460,11/8/22 17:50
UPS5514,N144UP,-118.009,34.6176,9500,AIRBUS,A300 F4-622R,2/28/26,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,1420,327,11/8/22 17:50
ASA88,N283AK,-118.151,34.6792,29625,BOEING,737-900ER,12/31/23,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,3532,504,11/8/22 17:50
AAL134,N721AN,-117.673,34.3612,24225,BOEING,777-323ER,3/31/25,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,,460,11/8/22 18:00
HGT5244,N286CH,-118.324,34.6884,37300,EMBRAER,EMB-145XR,11/30/25,JPMORGAN CHASE BANK NA,COLUMBUS,OHIO,3224,518,11/8/22 18:10
JSX9409,N258JX,-117.934,34.6954,21925,EMBRAER,EMB-135LR,6/30/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4654,460,11/8/22 18:10
SWA3370,N8781Q,-118.745,34.5273,40475,BOEING,737-8,9/30/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,1047,527,11/8/22 18:10
SWA3540,N7876A,-117.819,34.5196,15975,BOEING,737-7Q8,12/31/24,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3327,442,11/8/22 18:10
HAL32,N208HA,-118.191,34.386,33350,AIRBUS,A321-271N,10/31/24,HAWAIIAN AIRLINES INC,HONOLULU,HAWAII,2405,525,11/8/22 18:20
N5FL,N5FL,-118.014,34.5642,13325,TEXTRON AVIATION INC,525,8/31/25,N5237Y LLC,RANCHO SANTA FE,CALIFORNIA,4742,460,11/8/22 18:20
ASA901,N267AK,-118.352,34.5673,7900,BOEING,737-900ER,1/31/26,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,4627,460,11/8/22 18:30
SWA709,N912WN,-118.18,34.7117,21525,BOEING,737-7H4,3/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3756,477,11/8/22 18:40
DAL1837,N397DA,-117.883,34.5067,36350,BOEING,737-832,2/29/24,DELTA AIR LINES INC,ATLANTA,GEORGIA,4566,532,11/8/22 18:40
SWA2236,N8317M,-118.617,34.6398,39425,BOEING,737-8H4,8/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,,472,11/8/22 18:40
JSX112,N266JX,-118.114,34.6611,18175,EMBRAER,EMB-135LR,10/31/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4676,460,11/8/22 18:50
FFT2791,N216FR,-117.598,34.6453,36500,AIRBUS,A320-214,6/30/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,1671,527,11/8/22 18:50
N438TA,N438TA,-118.477,34.6742,39925,CESSNA,525C,3/31/25,CHUPACABRA EXPRESS LLC,N RICHLAND HILLS,TEXAS,7230,488,11/8/22 19:00
N59GX,N59GX,-118.096,34.6681,18500,BOMBARDIER INC,BD-700-1A10,12/31/24,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UTAH,6732,458,11/8/22 19:20
N578JZ,N578JZ,-118.446,34.4675,19900,PILATUS AIRCRAFT LTD,PC-12/45,8/31/25,ACV GROUP LLC,MCKINLEYVILLE,CALIFORNIA,6726,460,11/8/22 19:20
N178AS,N178AS,-118.349,34.5679,7900,CESSNA,750,8/31/23,ALPHA SIERRA AVIATION LLC,GLENDALE,CALIFORNIA,7204,460,11/8/22 19:20
FDX1213,N688FE,-117.312,34.6452,24100,AIRBUS,A300 F4-605R,12/31/25,FEDERAL EXPRESS CORP,MEMPHIS,TENNESSEE,,460,11/8/22 19:20
SWA989,N945WN,-117.772,34.4976,15500,BOEING,737-7H4,3/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,1744,405,11/8/22 19:20
JSX110,N259JX,-118.238,34.5588,16875,EMBRAER,EMB-135LR,4/30/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4612,460,11/8/22 19:30
SWA2512,N7874B,-118.546,34.5101,39450,BOEING,737-7Q8,12/31/24,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3304,511,11/8/22 19:30
GRZLY50,N10051K,-117.924,34.2288,21025,,,,,,,4677,421,11/8/22 19:30
NKS1652,N939NK,-118.214,34.5912,10400,AIRBUS,A320-271N,6/30/24,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,4603,366,11/8/22 19:40
SWA3446,N7876A,-118.567,34.6692,25775,BOEING,737-7Q8,12/31/24,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,7334,500,11/8/22 19:40
DAL1334,N775DE,-118.693,34.6463,36300,BOEING,737-8EH,2/28/26,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,1313,532,11/8/22 19:40
AAL1483,N835AW,-118.34,34.3248,28600,AIRBUS,A319-132,2/28/25,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3401,497,11/8/22 19:40
N475FX,N475FX,-118.522,34.4768,27800,LEARJET INC,45,4/30/25,FLEXJET LLC,CLEVELAND,OHIO,2756,543,11/8/22 19:40
N702JF,N702JF,-118.165,34.6047,9850,GULFSTREAM AEROSPACE,G-IV,1/31/25,J F AIR LLC,BEVERLY HILLS,CALIFORNIA,4726,318,11/8/22 19:50
SWA3020,N936WN,-118.534,34.4942,41350,BOEING,737-7H4,8/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3760,513,11/8/22 19:50
N293HC,N293HC,-117.938,34.6454,12975,BOMBARDIER INC,BD-100-1A10,4/30/25,HAMPTON CATTLE CO LLC,ORLANDO,FLORIDA,2363,355,11/8/22 20:00
TWY888,N888ZF,-118.125,34.6179,10725,GULFSTREAM AEROSPACE CORP,GVI (G650ER),8/31/25,PONDEROSA ASSET LLC,NEW YORK,NEW YORK,2605,338,11/8/22 20:00
DAL550,N123DQ,-118.668,34.9347,35500,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,6/30/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,7354,502,11/8/22 20:00
EJA624,N624QS,-118.351,34.5693,7925,TEXTRON AVIATION INC,680A,10/31/24,NETJETS SALES INC,OKLAHOMA CITY,OKLAHOMA,743,460,11/8/22 20:00
ASA1454,N266AK,-118.365,34.3702,31250,BOEING,737-900ER,11/30/25,ALASKA AIRLINES INC,SEATAC,WASHINGTON,6065,495,11/8/22 20:10
UAL1950,N436UA,-118.632,34.8532,31150,AIRBUS INDUSTRIE,A320-232,4/30/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,3256,520,11/8/22 20:20
UAL464,N890UA,-118.028,34.6261,11650,AIRBUS,A319-132,7/31/25,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,1473,430,11/8/22 20:20
UAL2169,N38467,-118.284,34.6061,31200,BOEING,737-924ER,2/28/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,3741,536,11/8/22 20:20
UPS59,N626UP,-118.105,34.6671,19650,BOEING,747-8F,3/31/24,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,3455,532,11/8/22 20:20
VOI5992,N517VL,-118.319,34.5918,36350,AIRBUS,A320-233,11/30/25,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,2104,520,11/8/22 20:30
AMX788,N368AR,-118.312,34.7168,38350,BOEING,737-86J,7/31/25,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,2660,520,11/8/22 20:30
ATN3326,N239AZ,-118.121,34.671,22075,BOEING,767-323,10/31/23,CARGO AIRCRAFT MANAGEMENT INC,WILMINGTON,OHIO,3516,465,11/8/22 20:30
N806J,N806J,-118.175,34.8226,15850,PIAGGIO AERO INDUSTRIES SPA,P180,4/30/24,20-NTG LLC,MARINA,CALIFORNIA,,460,11/8/22 20:30
UAL1776,N456UA,-117.846,34.5858,30250,AIRBUS INDUSTRIE,A320-232,4/30/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,1444,509,11/8/22 20:30
VOI356,N527VL,-118.033,34.4296,36475,AIRBUS,A320-233,4/30/25,WILMINGTON TRUST NA TRUSTEE,WILMINGTON,DELAWARE,7312,460,11/8/22 20:40
FDX3758,N178FE,-118.263,34.7639,24900,BOEING,767-300F,9/30/25,FEDERAL EXPRESS CORP,MEMPHIS,TENNESSEE,3362,509,11/8/22 20:40
SWA2927,N947WN,-117.979,34.5659,13800,BOEING,737-7H4,8/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,2645,401,11/8/22 20:40
EJA790,N790QS,-118.318,34.5721,8200,BOMBARDIER INC,BD-100-1A10,9/30/24,NETJETS SALES INC,OKLAHOMA CITY,OKLAHOMA,1337,320,11/8/22 20:40
SWA1500,N8317M,-118.656,35.0516,40225,BOEING,737-8H4,8/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,2024,511,11/8/22 20:40
JSX113,N266JX,-118.168,34.6037,7875,EMBRAER,EMB-135LR,10/31/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4665,460,11/8/22 20:50
AAL1017,N725UW,-118.384,34.4143,34300,AIRBUS INDUSTRIE,A319-112,9/30/25,UMB BANK NA TRUSTEE,SALT LAKE CITY,UTAH,3460,534,11/8/22 20:50
AMX786,N875AM,-118.298,34.4156,38350,BOEING,737-852,11/30/23,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,7270,511,11/8/22 21:00
JBU359,N709JB,-118.357,34.566,7925,AIRBUS,A320-232,5/31/23,JETBLUE AIRWAYS CORP,LONG ISLAND CITY,NEW YORK,1670,460,11/8/22 21:00
SWA163,N8646B,-118.093,34.6274,38400,BOEING,737-8H4,9/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,1531,516,11/8/22 21:10
SWA497,N8781Q,-118.076,34.6122,23975,BOEING,737-8,9/30/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3207,467,11/8/22 21:10
FFT2186,N352FR,-117.909,34.3635,17325,AIRBUS SAS,A320-251N,12/31/23,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,4624,414,11/8/22 21:20
SWA355,N8604K,-118.317,34.8067,28175,BOEING,737-8H4,7/31/24,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,3743,502,11/8/22 21:20
JSX552,N243JX,-117.988,34.6404,9850,EMBRAER,EMB-145LR,11/30/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,1437,460,11/8/22 21:20
ASA1199,N926AK,-118.416,34.5594,38225,BOEING,737-9,12/31/24,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,7321,523,11/8/22 21:20
SWA2333,N488WN,-118.282,34.5158,32175,BOEING,737-7H4,11/30/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4777,534,11/8/22 21:20
UPS963,N407UP,-118.51,34.9175,31100,BOEING,757-24APF,5/31/23,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,3725,460,11/8/22 21:30
